#Path: /HepData/8872/d3-x1-y1
#Centrality dependence of the charged particle pseudorapidity distribution measured in several centrality intervals for charged particles with $p_{T} > 0$ GeV. The first uncertainty is statistical the #second systematic
#Location: Figure 7 right
#$\sqrt{s_{_{\text{NN}}}}$ in GeV : 5020.0
#$p_{T}$ in GeV above : 0.0
#x : $\eta$
#y : $dN_{ch}/d\eta$ in (60-90)% : $dN_{ch}/d\eta$ in (40-60)% : $dN_{ch}/d\eta$ in (30-40)% : $dN_{ch}/d\eta$ in (20-30)% : $dN_{ch}/d\eta$ in (10-20)% : $dN_{ch}/d\eta$ in (5-10)% : $dN_{ch}/d\eta$ in (1-5)% : $dN_{ch}/d\eta$ in (0-1)%
#xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-2.6500000000000004	-2.7	-2.6	8.681	+0.098	-0.098	+0.637	-0.637	17.875	+0.136	-0.136	+0.899	-0.899	24.485	+0.203	-0.203	+1.096	-1.096	29.805	+0.238	-0.238	+1.224	-1.224	36.899	+0.286	-0.286	+1.515	-1.515	45.076	+0.371	-0.371	+1.807	-1.807	54.735	+0.509	-0.509	+2.198	-2.198	72.722	+0.529	-0.529	+3.478	-3.478
	-2.55	-2.6	-2.5	8.556	+0.087	-0.087	+0.622	-0.622	17.76	+0.121	-0.121	+0.889	-0.889	24.189	+0.18	-0.18	+1.08	-1.08	29.569	+0.212	-0.212	+1.214	-1.214	36.447	+0.254	-0.254	+1.497	-1.497	44.758	+0.334	-0.334	+1.796	-1.796	54.505	+0.465	-0.465	+2.191	-2.191	72.305	+0.498	-0.498	+3.444	-3.444
	-2.45	-2.5	-2.4	8.791	+0.088	-0.088	+0.618	-0.618	18.213	+0.123	-0.123	+0.863	-0.863	24.759	+0.182	-0.182	+1.034	-1.034	30.183	+0.214	-0.214	+1.147	-1.147	37.182	+0.256	-0.256	+1.413	-1.413	45.486	+0.336	-0.336	+1.684	-1.684	55.18	+0.467	-0.467	+2.044	-2.044	72.463	+0.497	-0.497	+3.164	-3.164
	-2.3499999999999996	-2.4	-2.3	8.889	+0.093	-0.093	+0.615	-0.615	18.377	+0.129	-0.129	+0.852	-0.852	24.921	+0.19	-0.19	+1.017	-1.017	30.321	+0.223	-0.223	+1.123	-1.123	37.246	+0.267	-0.267	+1.379	-1.379	45.405	+0.349	-0.349	+1.636	-1.636	55.167	+0.49	-0.49	+1.989	-1.989	72.211	+0.519	-0.519	+3.053	-3.053
	-2.25	-2.3	-2.2	8.937	+0.093	-0.093	+0.611	-0.611	18.472	+0.13	-0.13	+0.849	-0.849	25.078	+0.192	-0.192	+1.015	-1.015	30.372	+0.224	-0.224	+1.117	-1.117	37.477	+0.269	-0.269	+1.379	-1.379	45.476	+0.35	-0.35	+1.628	-1.628	55.363	+0.49	-0.49	+1.984	-1.984	72.94	+0.526	-0.526	+3.049	-3.049
	-2.1500000000000004	-2.2	-2.1	8.969	+0.096	-0.096	+0.607	-0.607	18.499	+0.134	-0.134	+0.844	-0.844	25.159	+0.199	-0.199	+1.013	-1.013	30.566	+0.233	-0.233	+1.12	-1.12	37.535	+0.279	-0.279	+1.375	-1.375	45.737	+0.365	-0.365	+1.631	-1.631	55.175	+0.507	-0.507	+1.969	-1.969	72.589	+0.541	-0.541	+3.007	-3.007
	-2.05	-2.1	-2.0	8.993	+0.096	-0.096	+0.6	-0.6	18.628	+0.135	-0.135	+0.833	-0.833	25.101	+0.198	-0.198	+0.988	-0.988	30.435	+0.233	-0.233	+1.088	-1.088	37.64	+0.281	-0.281	+1.345	-1.345	45.67	+0.366	-0.366	+1.588	-1.588	55.188	+0.511	-0.511	+1.92	-1.92	72.3	+0.543	-0.543	+2.906	-2.906
	-1.95	-2.0	-1.9	9.109	+0.097	-0.097	+0.596	-0.596	18.596	+0.134	-0.134	+0.809	-0.809	25.24	+0.199	-0.199	+0.961	-0.961	30.471	+0.233	-0.233	+1.048	-1.048	37.514	+0.28	-0.28	+1.291	-1.291	45.736	+0.366	-0.366	+1.529	-1.529	55.37	+0.511	-0.511	+1.851	-1.851	71.849	+0.54	-0.54	+2.761	-2.761
	-1.85	-1.9	-1.8	9.059	+0.097	-0.097	+0.587	-0.587	18.494	+0.134	-0.134	+0.796	-0.796	25.184	+0.2	-0.2	+0.949	-0.949	30.323	+0.232	-0.232	+1.033	-1.033	37.402	+0.281	-0.281	+1.274	-1.274	45.468	+0.367	-0.367	+1.504	-1.504	55.091	+0.513	-0.513	+1.823	-1.823	72.646	+0.551	-0.551	+2.75	-2.75
	-1.75	-1.8	-1.7	9.093	+0.097	-0.097	+0.582	-0.582	18.582	+0.135	-0.135	+0.788	-0.788	25.211	+0.201	-0.201	+0.935	-0.935	30.511	+0.235	-0.235	+1.022	-1.022	37.346	+0.282	-0.282	+1.251	-1.251	45.241	+0.367	-0.367	+1.471	-1.471	54.507	+0.512	-0.512	+1.772	-1.772	71.751	+0.549	-0.549	+2.657	-2.657
